Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,11.0,0,1,731.0,6,0
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,White,14.0,1,1,122.0,5,3
Bird (wildlife),Unknown,Unknown,Bird - Unspecified,Red,Missing,0.0,0,0,122.0,6,6
Cat,Female,Yes,Domestic Shorthair,BLUE TABBY,Missing,45.0,1,1,731.0,8,2
Cat,Female,Yes,Domestic Shorthair,Black,White,1.0,0,1,355.0,9,3
Rabbit,Male,Yes,American,White,Black,15.0,1,1,143.0,4,3
Kitten,Male,yes,Domestic Shorthair,Black,Missing,11.0,1,0,52.0,8,0
Kitten,Unknown,Unknown,Domestic Shorthair,Black,Missing,1.0,0,0,61.0,7,4
Dog,Female,Unknown,American Pit Bull Terrier,Brown,White,4.0,0,1,122.0,7,1
Cat,Female,No,Domestic Shorthair,Brown Tabby,White,3.0,0,1,304.0,6,3
Dog,Male,Yes,Jack Russell Terrier,White,Brown,6.0,1,1,4383.0,6,1
Dog,Male,Yes,American Pit Bull Terrier,Tan,White,22.0,1,1,731.0,8,0
Cat,Male,No,Domestic Shorthair,Black,White,0.0,0,0,14.0,5,3
Cat,Unknown,Unknown,Domestic Shorthair,Flame Point,White,1.0,0,0,1461.0,8,2
Cat,Male,Yes,Domestic Shorthair,Black,White,32.0,1,1,91.0,7,1
Bird (wildlife),Unknown,Unknown,Dove,Grey,Missing,15.0,0,0,122.0,7,3
Cat,Male,Unknown,Domestic Shorthair,Blue,White,6.0,0,0,731.0,6,2
Cat,Female,No,Domestic Shorthair,Cream,Missing,2.0,0,0,28.0,6,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,38.0,1,1,22.0,4,2
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,42.0,6,4
Cat,Female,Unknown,Domestic Shorthair,Brown Tabby,White,4.0,0,0,731.0,6,2
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,213.0,1,1,731.0,1,3
Dog,Male,No,American Staffordshire Terrier,Buff,White,15.0,0,0,731.0,7,4
Dog,Male,Yes,Chihuahua - Smooth,Black,Brown,1.0,1,1,523.0,8,0
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,Missing,120.0,1,1,274.0,4,0
Cat,Male,No,Domestic Shorthair,Black,White,9.0,0,0,77.0,7,3
Dog,Female,Yes,Chihuahua - Smooth,Red,Missing,6.0,1,1,120.0,6,2
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,731.0,6,2
Puppy,Female,No,American Pit Bull Terrier,Tan,Brown,3.0,0,0,62.0,9,4
Dog,Male,Yes,Labrador Retriever,Black,Tri Color,16.0,1,1,49.0,5,1
Dog,Male,No,American Pit Bull Terrier,White,Black,24.0,0,1,182.0,4,5
Dog,Male,Yes,Belgian Shepherd Dog - Malinois,Brown,Black,36.0,1,1,731.0,5,5
Kitten,Female,yes,Domestic Long Hair,Brown Tabby,Missing,48.0,1,0,28.0,7,2
Dog,Male,No,French Bulldog,Brown,Missing,21.0,0,0,731.0,6,3
Cat,Female,yes,Domestic Shorthair,Brown Tabby,Missing,14.0,1,1,91.0,7,2
Cat,Female,No,Siamese,Lilac Point,Missing,5.0,0,0,731.0,8,2
Dog,Male,Yes,WH PT GRIFFON,Chocolate,White,26.0,1,1,191.0,5,3
Dog,Female,Unknown,Shepherd,Brown,Black,25.0,0,1,731.0,8,4
Cat,Unknown,Unknown,Domestic Shorthair,Blue,White,0.0,0,0,2192.0,5,2
Cat,Male,No,Domestic Shorthair,Black,White,1.0,0,0,122.0,7,1
Guinea Pig,Female,No,Unspecified,Tri Color,Missing,10.0,1,1,365.0,5,4
Dog,Female,No,Boxer,Brown,Missing,33.0,0,1,906.0,5,3
Kitten,Male,yes,Domestic Shorthair,Blue,Missing,21.0,1,0,61.0,8,3
Bird,Unknown,Unknown,Quaker Parrot,Green,Blue,15.0,0,0,365.0,9,2
